Abbeydale Christian Fellowship,Calgary,AB,403-273-6222,http://www.abbeydale.org
Abc,Orangedale,AB,155125661254,http://jo.net
ABUNDANT LIFE CENTRE,Calgary,AB,,
Abundant Life Worship Centre,Slave Lake,AB,780.849.4208,http://www.alwc.church
Abundant Springs Community Church,Pincher Creek,AB,403.627.3653,http://abundantsprings.church
Acadia Valley United Church,Acadia Valley,AB,403-664-3987,http://www.bigcountryunitedchurches.ca
ADVENT LUTHERAN CHURCH,Wildwood,AB,,
ADVENT LUTHERAN CHURCH,Calgary,AB,(403) 239-6966,http://adventlutheran.ca
AFRICAN APOSTOLIC CHURCH,Fort Mcmurray,AB,780 6071474,
AFRICAN BAPTIST MINISTRIES (ABM),Edmonton,AB,587 999 2605,http://www.abmcanada.org
African Baptist Ministries in Canada,Edmonton,AB,(1) 587- 999 2605,http://www.abmcanada.org
African One Heart,Edmonton,AB,(1) 587- 999 2605,http://www.abmcanada.org
Agape International Pentecostal Church,Calgary,AB,,
AIRDRIE ALLIANCE CHURCH,Airdrie,AB,,
AIRDRIE FOURSQUARE CHURCH,Airdrie,AB,,
AIRDRIE PASTORAL CHARGE,Airdrie,AB,,
AIRDRIE SEVENTH-DAY ADVENTIST CHURCH,Red Deer,AB,,
Airdrie Victory Church,Airdrie,AB,(403)948-8774,http://www.airdrievictory.com
ALBERTA & NWT DISTRICT OF THE PENTECOSTAL ASSEMBLIES OF CANADA,Edmonton,AB,,
ALBERTA CONFERENCE OF MENNONITE BRETHREN CHURCHES,Lethbridge,AB,,
ALBERTA CONFERENCE OF THE SEVENTH-DAY ADVENTIST CHURCH,Red Deer,AB,,
ALBERTA PARKLAND DISTRICT OF THE EVANGELICAL FREE CHURCH OF CANADA,Edmonton,AB,,
ALBERTA SYNOD OF THE EVANGELICAL LUTHERAN CHURCH IN CANADA,Edmonton,AB,,
ALIX EVANGELICAL FREE CHURCH,Alix,AB,,
ALL SAINTS ANGLICAN CHURCH,Calgary,AB,,
ALL SAINTS ANGLICAN CHURCH,Cherry Point,AB,,
ALL SAINTS ANGLICAN CHURCH,Medicine Hat,AB,,
ALL SAINTS ANGLICAN PARISH,Fort Mcmurray,AB,,
ALL SAINTS CHURCH,Hanna,AB,,
ALL SAINTS CHURCH,Cochrane,AB,,
ALL SAINTS CHURCH,Castor,AB,,
ALL SAINTS LUTHERAN CHURCH,Edmonton,AB,,
All Saints Lutheran Church,Calgary,AB,(403) 256-0262,
ALL SAINTS ORTHODOX CATHEDRAL,Edmonton,AB,(780) 471-2781,http://www.allsaintsorthodox.net
ALL SAINTS UKRAINIAN GREEK ORTHODOX CHURCH OF ST PAUL,St. Paul,AB,,
ALL SAINTS UKRAINIAN ORTHODOX CHURCH,Lloydminster,AB,780-875-7071,http://www.allsaintsorthodoxchurch.com
ALLIANCE CHRETIENNE ET MISSIONNAIRE DE GATINEAU,Gatineau,AB,(00228)90116749/9123,
ALLIANCE CHURCH ALBERTA BEACH,Alberta Beach,AB,,
ALLIANCE COMMUNITY CHURCH,Sylvan Lake,AB,403-887-8811,http://www.sylvanlakealliance.com
ALTADORE BAPTIST CHURCH,Calgary,AB,,
Amazing Grace Community Church,Lethbridge,AB,403-795-7692,http://www.agccl.org
ANDREW FULL GOSPEL CHURCH,Andrew,AB,,
ANDREW PASTORAL CHARGE,Andrew,AB,,
ANGLICAN CHURH OF CANADA PARISH OF ATHABASCA,Athabasca,AB,,
ANGLICAN PARISH OF ST. PATRICK EDMONTON,Edmonton,AB,,
APOSTOLIC CHRISTIAN CHURCH,Edmonton,AB,,
APOSTOLIC CHURCH OF PENTECOST OF CANADA INCORPORATED,Calgary,AB,,
ARDROSSAN PASTORAL CHARGE,Ardrossan,AB,,
Arise Family Church,Calgary,AB,,http://www.arisefc.org
Ark of Christ Victory Church,Calgary,AB,,http://www.arkofchrist.ca
ARROWWOOD GOSPEL CHURCH,Arrowwood,AB,,
ARROWWOOD UNITED CHURCH,Arrowwood,AB,,
ASCENSION LUTHERAN CHURCH,Edmonton,AB,,
ASCENSION LUTHERAN CHURCH,Calgary,AB,,
ASCENSION PARISH,Calgary,AB,,
Asian Christian Church,Edmonton,AB,780-655-2909,http://www.asianchristianchurch.org
ASPEN RIDGE CHRISTIAN FELLOWSHIP,Athabasca,AB,,
ASSEMBLY OF GOD MISSIONARY FELLOWSHIP,Stony Plain,AB,,
ATHABASCA EVANGELICAL MISSIONARY CHURCH,Athabasca,AB,,
ATHABASCA UNITED CHURCH,Athabasca,AB,,
AUBURNDALE PASTORAL CHARGE,Wainwright,AB,,
AUGUSTANA LUTHERAN CHURCH,Edmonton,AB,,
AVONMORE UNITED CHURCH,Edmonton,AB,,
"Balm of Gilead Evangelistic Ministries, Calgary, AB",Calgary,AB,403 453 0447,http://www.greater-works.org
Balmoral Bible Chapel,Red Deer,AB,403-347-5450,http://www.balmoralchapel.ca
Banff Park Church,Banff,AB,403-762-3225,http://banffparkchurch.com/
BANFF'S FULL GOSPEL CHURCH,Banff,AB,403-762-2740,http://www.banfffullgospelchurch.ca
Baptismison,Barisal,AB,01685404505,http://n/a
BAPTIST GENERAL CONFERENCE IN ALBERTA,Edmonton,AB,,
BAPTIST GENERAL CONFERENCE OF CANADA,Edmonton,AB,,
BAPTIST UNION OF WESTERN CAN,Calgary,AB,,
BARDO LUTHERAN CHURCH,Tofield,AB,,
BARONS MEMORIAL UNITED CHURCH,Barons,AB,,
BARRHEAD ALLIANCE CHURCH,Barrhead,AB,,
Barrhead Church of God,Barrhead,AB,780-674-2500,
BASHAW UNITED CHURCH,Bashaw,AB,,
BATTLE LAKE COMMUNITY BAPTIST CHURCH,Wetaskiwin,AB,,
BAWLF LUTHERAN CHURCH,Ohaton,AB,,
BEACH CORNER EVANGELICAL FREE CHURCH,Stony Plain,AB,,
BEAUMONT UNITED CHURCH,Beaumont,AB,,
BEAVERLODGE ALLIANCE CHURCH OF THE CHRISTIAN & MISSIONARY ALLIANCE,Beaverlodge,AB,,
BEDDINGTON PENTECOSTAL CHURCH,Calgary,AB,403.275.7133,http://www.bpchurch.ca
BEISEKER LEVEL LAND SEVENTH-DAY ADVENTIST CHURCH,Red Deer,AB,,
Believers Church,Grande Prairie,AB,780-532-0444,http://www.believerschurchgp.com
BELIEVERS FULL GOSPEL ASSEMBLY,Grande Prairie,AB,,http://www.believerschurchgp.com
BENALTO BAPTIST CHURCH,Eckville,AB,,
BENTLEY BLACKFALDS PASTORAL CHARGE,Bentley,AB,,
BENTLEY CHRISTIAN CENTRE C/O SEC-TREASURER,Bentley,AB,,
Bentley Community Church,Bentley,AB,403.748.3955,
BEREA CHAPEL OF CALGARY,Calgary,AB,,
BERGEN MISSIONARY CHURCH,Sundre,AB,,
BERGTHAL MENNONITE CHURCH,Didsbury,AB,,
Bete Saida Evangelical Church of Lethbridge,Lethbridge,AB,403 394 6380/4039292,
BETHANIA LUTHERAN CHURCH,Sedgewick,AB,,
BETHANY BAPTIST CHURCH,Red Deer,AB,,
BETHANY BAPTIST CHURCH HINTON ALBERTA,Hinton,AB,,
BETHANY CHAPEL,Calgary,AB,,
BETHANY EVANGELICAL LUTHERAN CHURCH,Lomond,AB,,
BETHANY EVANGELICAL LUTHERAN CONGREGATION,Tilley,AB,,
BETHANY LUTHERAN CHURCH,Coronation,AB,,
BETHANY LUTHERAN CHURCH,Fort Saskatchewan,AB,,
BETHANY LUTHERAN CHURCH,Donalda,AB,,
BETHANY LUTHERAN CHURCH,Innisfail,AB,,
BETHANY MENNONITE CHURCH,Smith,AB,,
BETHEL BAPTIST CHURCH,High Prairie,AB,,
BETHEL BAPTIST CHURCH,Grande Prairie,AB,,
BETHEL BAPTIST CHURCH,Calgary,AB,,
BETHEL CHRISTIAN REFORMED CHURCH,Lacombe,AB,,
BETHEL EVANGELICAL CHURCH,Carstairs,AB,,
BETHEL EVANGELICAL CHURCH IN CANADA,Hanna,AB,,
BETHEL EVANGELICAL MISSIONARY CHURCH,Three Hills,AB,,
Bethel Family Worship Centre,St. Paul,AB,780.645.4714,http://www.bethelfamilyworshipcentre.org
BETHEL FELLOWSHIP CHURCH OF THREE HILLS,Three Hills,AB,,
BETHEL GOSPEL CHAPEL OF EDMONTON,Edmonton,AB,,
BETHEL GOSPEL CHAPEL OF WANHAM,Wanham,AB,,
