" Harrison Memorial Church
", Crawford Bay,BC,,
" St. Michael & All Angels
", Balfour,BC,,
100 Mile House Baptist Church,100 Mile House,BC,250-791-9253,
100 Mile House Evangelical Free Church,100 Mile House,BC,250-395-2337,http://www.bcinternet.net/100mile/evfree/church.htm
100 Mile House SDA Church,100 Mile House,BC,250-395-2362,
100 Mile United Church,100 Mile House,BC,(250) 395-2932,http://www.unitedchurch.100mile.com
103 Korean Martyrs Catholic Church,New Westminster,BC,,
1945,Nelson,BC,2502266701,
Abbotsford Baptist Church,Abbotsford,BC,604-853-5821,http://www.abbybaptist.com
Abbotsford Chinese Christian Church,Clearbrook,BC,604-850-9023,
Abbotsford Church Network,Abbotsford,BC,604-256-2000,http://abbotsfordchurch.net
Abbotsford Church of the Nazarene,Abbotsford,BC,604-859-4717,
Abbotsford City Fellowship,Abbotsford,BC,604-853-8684,
Abbotsford Evangelical Free Church,Abbotsford,BC,604-859-8244,
Abbotsford Full Gospel Church,Abbotsford,BC,604-504-5503,
Abbotsford Hispanic SDA Church,Port Moody,BC,604-461-5107,
Abbotsford Korean Church,Abbotsford,BC,604-556-3985,
Abbotsford Mennonite Fellowship,Abbotsford,BC,604-859-5192,
Abbotsford Pentecostal Assembly,Abbotsford,BC,604-853-8158,http://www.lifeworthliving.ca
Abbotsford Punjabi Church,Abbotsford,BC,604.302.1613,http://www.abbotsfordpunjabi.church
Abbotsford Revival Centre,Abbotsford,BC,604-852-1706,
Abbotsford SDA Church,Abbotsford,BC,604-853-9703,
Abbotsford Sung-Eun Church,Abbotsford,BC,604-870-0797,
Abbotsford Vineyard Christian Fellowship,Abbotsford,BC,(604) 864-9162,http://www.abbotsfordvineyard.bc.ca
Abby House Church,Abbotsford,BC,(604) 852-4564,http://abbyhousechurch.com
Abhishek Pentecostal Assembly,Vancouver,BC,604-517-4490,http://www.abhishekassembly.com
Abhishek Pentecostal Assembly,Delta,BC,604-590-8836,http://www.abhishekassembly.com
Abundant Life Chapel,Fort St. John,BC,250-787-7404,
Abundant Life Pentecostal Assembly,Cranbrook,BC,250-426-2866,http://www.abundantlifepa.com
Action Tree,Kelwona Bc,BC,250.762.5922,http://www.actiontree.ca
ACTS - Apostolic Christ The Saviour Fellowship,Vancouver,BC,(604) 709-9646,
ACTS Church,Mission,BC,604-702-8050,http://www.myactschurch.ca
Aennofield Community Church,Fort St. John,BC,250-787-2446,
Agape Church of the Nazarene,Vancouver,BC,604-874-2022,
Agassiz Christian Reformed Church,Agassiz,BC,604-796-9416,
AGASSIZ CONGREGATION OF AGASSIZ-ROSEDALE PASTORAL CHARGE,Agassiz,BC,,
Agassiz United Church,Agassiz,BC,604-796-2680,
Ah Reum Da Woon Presbyterian Church,Burnaby,BC,604-525-0977,
AHOUSAT UNITED CHURCH,Port Alberni,BC,,
Alberni Christian Fellowship,Port Alberni,BC,250-723-2328,
ALDERBROOK COMMUNITY CHURCH,Abbotsford,BC,,
Aldergrove Alliance Church,Aldergrove,BC,604-856-3447,http://www.cmacan.org
ALDERGROVE BAPTIST CHURCH,Abbotsford,BC,,
Aldergrove Canadian Reformed Church,Aldergrove,BC,604-856-1992,
Aldergrove Christian Assembly,Aldergrove,BC,604-856-1546,
Aldergrove Evangelical Free Church,Aldergrove,BC,604-856-3512,
Aldergrove Fellowship Baptist Church,Abbotsford,BC,604-856-1413,
Aldergrove Gospel Chapel,Aldergrove,BC,604-856-6278,http://www.aldergrovegospelchapel.ca
Aldergrove SDA Church,Aldergrove,BC,604-856-5830,
ALDERGROVE UNITED CHURCH,Aldergrove,BC,604-856-8675,http://aldergroveunitedchurch.weebly.com
Aldergrove Vineyard Community Church,Aldergrove,BC,(604) 856-4880,
Alert Bay Revival Centre,Alert Bay,BC,250-974-5355,
ALEXIS PARK CHURCH,Vernon,BC,250-542-4135,http://www.alexisparkchurch.com
All Nations Christian Fellowship,Vancouver,BC,604-467-2439,
ALL NATIONS FAMILY FELLOWSHIP OF CHETWYND,Chetwynd,BC,,
All Nations Pentecostal Church of P.G.,Prince George,BC,250-561-1220,
All Saints Anglican Church,Merritt,BC,250-378-6592,http://www.anglican.ca
All Saints Anglican Church,Victoria,BC,250-744-2832,http://www.anglican.ca
All Saints Anglican Church,Vernon,BC,250-542-3179,http://www.anglican.ca
All Saints Anglican Church,Mission,BC,604-826-2814,http://www.anglican.ca
All Saints Anglican Church,Kimberley,BC,250-427-2495,http://www.anglican.ca
All Saints Anglican Church,Delta,BC,604-946-8413,http://www.anglican.ca
All Saints Anglican Church,Port Alberni,BC,250-723-9641,http://www.anglican.ca
All Saints Anglican Church,Burnaby,BC,604-433-0815,http://www.anglican.ca
All Saints Anglican Church,Agassiz,BC,604-796-3553,http://www.allsaints-agassiz.ca
All Saints Anglican Church,Invermere,BC,250-342-6644,http://www.anglican.ca
All Saints Catholic Church,Port Coquitlam,BC,604-939-1741,
ALL SAINTS PARISH,Coquitlam,BC,,
All Saints Ukrainian Orthodox Church,Kamloops,BC,250-376-9209,
All Saints' Anglican Church,Chase,BC,250-679-3944,"http://www.kootenayanglican.ca/chase-andrewall-saints/
"
Alley Ministry,Vancouver,BC,,
AMAZING FACTS CANADA,Vancouver,BC,,
Amazing Grace Christian Fellowship,New Westminster,BC,604-528-9812,
Amistad Cristiana PUERTAS ABIERTAS,North Vancouver Bc,BC,"604 985 8552, 778 83",http://www.icfopendoor.com
AMOR VIVIENTE CHRISTIAN CHURCH,Surrey,BC,,
Anahim Lake Chapel,Anahim Lake,BC,250-742-3247,
ANAHIM LAKE MISSION,Vancouver,BC,,
ANGLICAN CHURCH OF CANADA PARISH OF WINDERMERE,Invermere,BC,,
Anglican Church of the Ascension,Langley,BC,778-574-6525,http://www.ascensionlangley.ca
ANGLICAN CHURCH OF THE REDEEMER,Barriere,BC,,
ANGLICAN CHURCH OF THE RESURRECTION,Hope,BC,604.206.1111,
Anglican Parish,Lytton,BC,250-455-2700,http://www.anglican.ca
Anglican Parish of Armstrong/Enderby ,Armstrong,BC,250-546-9366,Http://www.armstrongenderbyparish.com
ANGLICAN PARISH OF SHUSWAP LAKES,Anglemont,BC,,
ANGLICAN PARISH OF ST ANDREW,Langley,BC,(604) 534-6514,http://www.standrewslangley.ca
ANGLICAN PARISH OF ST GEORGE,Fort Langley,BC,,
ANGLICAN SYNOD OF THE DIOCESE OF BRITISH COLUMBIA,Victoria,BC,,
ANGLICAN UNITED FELLOWSHIP OF PORT MCNEILL,Port Mcneill,BC,,
Annunciation Catholic Church,Prince Rupert,BC,250-624-3035,
Anspayaxw United Church,Hazelton,BC,250-842-5120,
Anugrah Pentecostal Fellowship,New Westminster,BC,604-526-9403,
Apostles Ministries of Faith,Surrey,BC,604-574-5643,
Apostolic Christ the Saviour,Vancouver,BC,(604) 709-9646,
Apostolic Church of God Seventh Day,Langley,BC,no phone,
APOSTOLIC CHURCH OF PENTECOST,Nanaimo,BC,,
Apostolic Church of Pentecost of Vancouver,Burnaby,BC,,
Apostolic Faith Church,Vancouver,BC,604-435-8611,http://www.afvancouver.com
APOSTOLIC FAITH MISSION,Vancouver,BC,,
Apostolic Lighthouse Tabernacle,Dawson Creek,BC,250-782-5489,
Arabic Evangelical Church,Surrey,BC,604-572-9906,
ARABIC EVANGELICAL CHURCH,New Westminster,BC,,
Arbutus Grove Church,Parksville,BC,250-248-6474,
Armstrong Avenue Baptist Church,Burnaby,BC,604-525-8058,
Armstrong Bible Chapel,Armstrong,BC,250-546-9696,
ARMSTRONG ENDERBY PARISH,Armstrong,BC,,
Armstrong SDA Church,Armstrong,BC,250-546-8555,
ARMSTRONG SEVENTH-DAY ADVENTIST CHURCH,Abbotsford,BC,,
Arnold Community Church,Abbotsford,BC,604-864-2208,http://arnoldcc.stratium.bc.ca/
Arrow Lakes Alliance Church,Nakusp,BC,250-265-4962,http://www.cmacan.org
Arrow Lakes United Church,Nakusp,BC,250-265-3362,
Arrow of Deliverance,Granisle,BC,604-697-2996,
Arrowsmith Baptist Church,Port Alberni,BC,250-724-7272,
Ascension Lutheran Church,Nelson,BC,250-352-2515,
Ascension Lutheran Church,Kelowna,BC,250-717-1508,
Ashcroft SDA Church,Ashcroft,BC,250-453-2463,
ASHCROFT SEVENTH-DAY ADVENTIST CHURCH,Abbotsford,BC,,
Asian (East) Indian Mission,Delta,BC,604-584-4626,
Asian Christ Church (Punjabi-Hindi-Urdu-English),Surrey,BC,"778-241-9066, 778-30",http://www.asianchristchurch.com
Asian Zion Pentecostal Assembly,Maple Ridge,BC,604-463-5647,
Associated Presbyterian Church,Vancouver,BC,604-581-4511,
Assumption of the Blessed Virgin Mary,Kelowna,BC,250-860-7295,
Assumption of the Blessed Virgin Mary,Richmond,BC,604-271-5551,
Atlin Christian Centre,Atlin,BC,250-651-7720,
Augustana Lutheran Church,Vancouver,BC,604-876-7814,
B C INTERIOR DISTRICT OF PACIFIC NORTHWEST CONFERENCE OF FREE METHODIST CHURCH,Winfield,BC,,
B.C. Full Gospel Church,Vancouver,BC,604-438-9779,
Bakerview Gospel Chapel,Richmond,BC,604-274-2124,
Bakerview MB Church,Abbotsford,BC,604-859-4611,
Bakerview Spanish Church,Abbotsford,BC,604-859-4611,
Bakerview Vietnamese MB Church,Abbotsford,BC,604-859-4611,
Bamfield Pentecostal Assembly,Bamfield,BC,250-728-3400,
Bamfield United Church,Bamfield,BC,250-728-3479,
Barriere SDA Church,Barriere,BC,250-677-4329,
BARRIERE SEVENTH-DAY ADVENTIST CHURCH,Abbotsford,BC,,
Basel Hakka Lutheran Church,Vancouver,BC,(604) 255-5988,http://www.bhlc.ca
Bay Community Church,Comox,BC,250-339-7527,http://www.cccc.ca
Bear Creek Community Church,Surrey,BC,(604) 590-5957,http://www.bearcreekcc.org
Beaver Road Evangelical Baptist Church,Lake Cowichan,BC,250-749-3211,
Beaver Valley Baptist Church,Montrose,BC,250-367-7264,
BEAVER VALLEY UNITED CHURCH,Fruitvale,BC,250 367 9809,http://cifpc.ca/
Beaverdell Community Church,Beaverdell,BC,250-484-5685,
Beaverly Christian Fellowship,Prince George,BC,250-964-1502,
Believer's Fellowship Baptist Church,Burnaby,BC,604-523-1331,
Bella Bella Pentecostal Church,Bella Bella,BC,250-957-2269,
BELLA COOLA PASTORAL CHARGE,Bella Coola,BC,,
Bella Coola Pentecostal Assembly ,Bella Coola,BC,250-799-0011,
Bella Coola SDA Church,Bella Coola,BC,250-799-5569,
