ABERDEEN EVANGELICAL MENNONITE CHURCH,Winnipeg,MB,204-221-3000,http://www.aberdeenemc.ca
ABUNDANT LIFE BAPTIST CHURCH,Winnipeg,MB,(204) 222-7671,
ABUNDANT LIFE CHAPEL,Lac Du Bonnet,MB,204.345.2934,
ADVENT LUTHERAN CHURCH,Thompson,MB,,
AFRICAN BAPTIST MINISTRIES IN CANADA INC.,Winnipeg,MB,(204) 230 2607,http://www.abmcanada.org
African One Heart,Winnipeg,MB,1-204 230 2607,http://www.abmcanada.org
AGAPE CHAPEL,Winnipeg,MB,,
ALBRIGHT CHURCH,Winnipeg,MB,,
Alive Family Church,Stonewall,MB,204.467.2870,http://alivefamilychurch.ca
All Nations Full Gospel Church (ANFGC),Winnipeg,MB,204 557 8384,http://www.anfgcwinnipeg.org
ALL PEOPLES CHURCH,West Hawk Lake,MB,,
ALL SAINTS ANGLICAN CHURCH,Matlock,MB,,
ALL SAINTS ANGLICAN CHURCH,Gladstone,MB,,
ALL SAINTS CHURCH,Winnipeg,MB,+254720783706,
ALL SAINTS UKRAINIAN CATHOLIC PARISH,Swan River,MB,,
ALONSA UNITED CHURCH,Alonsa,MB,,
ALTAMONT UNITED CHURCH,Altamont,MB,,
ALTONA EVANGELICAL MENNONITE MISSION CHURCH,Altona,MB,,
ALTONA MENNONITE CHURCH,Altona,MB,,
ALTONA UNITED CHURCH,Wanguru,MB,+254720783706,
AMARANTH GOSPEL MISSION,Langruth,MB,,
Amaranth Gospel Mission,Amaranth,MB,2048432658,
AMBASSADOR BAPTIST CHURCH,Morden,MB,,
Anola Fellowship Chapel,Anola,MB,204-866-2882,
ANOLA UNITED CHURCH,Anola,MB,,
ARBORG CHRISTIAN FELLOWSHIP INC,Arborg,MB,(204) 376-2683,http://ArborgChristianFellowship.com
ARDAL - GEYSIR  LUTHERAN CHURCH,Arborg,MB,(204) 376-2996,
ARDEN UNITED CHURCH,Arden,MB,,
ARLINGTON STREET GOSPEL CHAPEL,Winnipeg,MB,,
ARNAUD MENNONITE CHURCH,Arnaud,MB,,
ASHERN GOSPEL CHAPEL,Ashern,MB,,
ASHERN UNITED CHURCH,Ashern,MB,,
ASSINIBOIA - CHARLESWOOD COMMUNITY CHURCH,Winnipeg,MB,,
Assiniboine Pentecostal Church,Winnipeg,MB,204.783.4456,
ASSUMPTION OF OUR LADY CHURCH,Amaranth,MB,,
ATLANTIC GARDEN CITY UNITED CHURCH,Winnipeg,MB,,
AUGUSTINE UNITED CHURCH,Winnipeg,MB,,
AUSTIN SIDNEY PASTORAL CHARGE,Austin,MB,,
AVONLEA UNITED CHURCH,Domain,MB,,
BAGOT COMMUNITY CHAPEL,Bagot,MB,,
BALMORAL UNITED CHURCH,Balmoral,MB,,
BAPTIST GENERAL CONFERENCE - CENTRAL CANADA INC.,Winnipeg,MB,,
BAYVIEW EVANGELICAL FREE CHURCH OF GIMLI/WINNIPEG BEACH DISTRICTS IN MANITOBA,Gimli,MB,,
Beausejour Community Church,Beausejour,MB,204-268-9950,http://www.beausejourchurch.ca
BEAUSEJOUR PASTORAL CHARGE,Beausejour,MB,,
BEAUTIFUL SAVIOR LUTHERAN CHURCH,Winnipeg,MB,,
BELLAFIELD PRESBYTERIAN CHURCH,Ninette,MB,,
Belmont Pentecostal Assembly,Belmont,MB,,
BENITO KENVILLE PASTORAL CHARGE,Swan River,MB,,
BEREAN CHURCH OF GOD INCORPORATED,Winnipeg,MB,,
BEREAN FUNDAMENTAL CHURCH OF OAK LAKE MAN INC,Oak Lake,MB,,
BERGFELD MENNONITE CHURCH,Altona,MB,,
BERGTHALER MENNONITE CHURCH,Macgregor,MB,,
BERGTHALER MENNONITE CHURCH OF ALTONA,Altona,MB,,
BERGTHALER MENNONITE CHURCH OF GRETNA,Gretna,MB,,
BERGTHALER MENNONITE CHURCH OF MORDEN,Morden,MB,,
BETHEL BAPTIST CHURCH,Winnipeg,MB,,
BETHEL BERGTHALER MENNONITE CHURCH,Winkler,MB,1-204-325-4536,http://www.ourbethelchurch.com
Bethel Chapel,Selkirk,MB,204.482.5482,
BETHEL CHRISTIAN ASSEMBLY,Brandon,MB,,http://www.bethelbrandon.ca
BETHEL CHURCH,Macgregor,MB,204.685.2613,
BETHEL MENNONITE CHURCH,Winnipeg,MB,,
BETHEL PENTECOSTAL CHURCH,Roblin,MB,,
BETHEL TABERNACLE,Dauphin,MB,,
BETHEL TABERNACLE U P C,Winnipeg,MB,,
BETHESDA CHURCH,Winnipeg,MB,,http://bethesdachurch.ca
BETHLEHEM CHAPEL,Winnipeg,MB,,
BEULAH COMMUNITY CHAPEL INC,Beulah,MB,,
BIBLE BAPTIST CHURCH,Portage La Prairie,MB,,
BIBLE CHURCH OF GOD INC,Winnipeg,MB,,
BINSCARTH FOXWARREN PASTORAL CHARGE,Foxwarren,MB,,
BIRDS HILL UNITED CHURCH,East St. Paul,MB,,
BIRTLE UNITED CHURCH,Birtle,MB,,
BIRTLE-ISABELLA-MINIOTA PASTORAL CHARGE,Birtle,MB,,
BISSETT UNITED CHURCH,Bissett,MB,,
BLESSED SACRAMENT PARISH,Elie,MB,,
BLESSED VIRGIN MARY UKRAINIAN CATHOLIC PARISH,Winnipeg,MB,,
Blessings Community Church,Winnipeg,MB,204.586.0702,http://www.blessingscommunitychurch.com
Bloodvein Pentecostal Church,Bloodvein River,MB,,
Blumenort Evangelical Mennonite Church,Blumenort,MB,204-326-1644,http://www.blumenortemc.ca
BLUMENORT MENNONITE CHURCH,Winkler,MB,,
Braeside Evangelical Mennonite Church,Winnipeg,MB,204-667-2970,http://www.braesidechurch.ca
BRANDON CHURCH OF CHRIST,Brandon,MB,,
Brandon Vineyard Christian Fellowship,Brandon,MB,(204) 728-4108,
BROADWAY FIRST BAPTIST CHURCH INC.,Winnipeg,MB,,
BROOKDALE UNITED CHURCH OF CANADA,Brookdale,MB,,
CADURCIS UNITED CHURCH,Minnedosa,MB,,
CALVARY BAPTIST CHURCH,Killarney,MB,,http://sites.advancedministry.com/calvarykillarney
Calvary Chapel,Neepawa,MB,204.476.3245,http://neepawa.paoca.net
Calvary Chapel,Winnipeg,MB,2048944591,http://www.calvarywinnipeg.com
Calvary Chapel Winnipeg,Winnipeg,MB,204-894-4591,http://www.ccwinnipeg.com
CALVARY CHURCH,Minnedosa,MB,,
Calvary Gospel Church,Elphinstone,MB,204.625.2002,
CALVARY TEMPLE,Brandon,MB,204.728.8500,http://www.ctbrandon.com
CALVARY TEMPLE CHURCH,Winnipeg,MB,204.943.4551,http://www.ctwinnipeg.com
CALVIN PRESBYTERIAN CHURCH,Winnipeg,MB,,
CANADIAN BAPTIST MISSION INC,Pikwitonei,MB,,
CANADIAN CONFERENCE OF MENNONITE BRETHREN CHURCH OF NORTH AMERICA,Winnipeg,MB,,
CANADIAN REFORMED CHURCH AT WINNIPEG MAN,Winnipeg,MB,(204) 661-6970,
CANADIAN REFORMED CHURCH OF CARMAN MAN,Carman,MB,,
CARBERRY PASTORAL CHARGE,Carberry,MB,,
CARDALE UNITED CHURCH,Cardale,MB,,
CARMAN CHURCH OF CHRIST,Miami,MB,,
CARMAN GOSPEL LIGHT CHURCH (MENNONITE BRETHREN COFERENCE),Carman,MB,,
CARMAN MENNONITE CHURCH,Carman,MB,,
CARMAN UNITED CHURCH,Carman,MB,,
CARMEN PENTECOSTAL ASSEMBLY,Carman,MB,204.745.3787,http://www.carman.paoc.net
CARTWRIGHT UNITED CHURCH,Cartwright,MB,,
CATHEDRAL PARISH OF ST JOHN WINNIPEG,Winnipeg,MB,,
CENTRAL BAPTIST CHURCH,Winnipeg,MB,,
CENTRAL CHARITIES BOARD CHURCH OF GOD IN CHRIST MENNONITE CANADA,Grandview,MB,,
Central Pentecostal Church,Norway House,MB,,
CENTRAL UNITED CHURCH,Brandon,MB,,
CENTRO FAMILIAR CRISTIANO EL SHADDAI CHURCH INC. BRANDON MB,Brandon,MB,204-930.8249,http://iglesiainternacionalelshaday.com
CHAPELLENIE DE SAINT JEAN-MARIE VIANNEY,La Broquerie,MB,,
