ALL HALLOWS PARISH,Corner Brook,NL,,
ALL SAINTS PARISH,Manuels,NL,,
AMBASSADOR BAPTIST CHURCH,Deer Lake,NL,,
ANGLICAN PARISH OF ARNOLDS COVE,Arnolds Cove,NL,,
ANGLICAN PARISH OF BONNE BAY NORTH,Rocky Harbour,NL,,
ANGLICAN PARISH OF BURGEO(ST JOHN THE EVANGELIST CHURCH),Cow Head,NL,,
ANGLICAN PARISH OF CARTWRIGHT,Cartwright,NL,,
ANGLICAN PARISH OF CATALINA,Catalina,NL,,
ANGLICAN PARISH OF COW HEAD,Cow Head,NL,,
ANGLICAN PARISH OF FORTEAU,Forteau,NL,,
ANGLICAN PARISH OF FORTUNE LAMALINE,Fortune,NL,,
ANGLICAN PARISH OF GRAND BANK,Grand Bank,NL,,
ANGLICAN PARISH OF GREENSPOND - NEWTOWN - POUND COVE,Newtown,NL,,
ANGLICAN PARISH OF HARBOUR GRACE,Harbour Grace,NL,,
Anglican Parish of Marystown,Creston,NL,709 279 2939,
ANGLICAN PARISH OF NEW HARBOUR,South Dildo,NL,,
ANGLICAN PARISH OF NORMAN'S COVE,Trinity Bay,NL,,
ANGLICAN PARISH OF PORT REXTON,Port Rexton,NL,,
ANGLICAN PARISH OF PORTUGAL COVE,Portugal Cove,NL,,
ANGLICAN PARISH OF STEPHENVILLE CROSSING,Stephenville Crossing,NL,,
ANGLICAN PARISH OF SUNNYSIDE,Sunnyside,NL,,
ANGLICAN PARISH OF TWILLINGATE,Twillingate,NL,,
ANGLICAN PARISH OF WESTPORT,Springdale,NL,,
ANGLICAN PARISH OF WHITE BAY,Jackson,NL,,
APOSTOLIC FAITH MISSION,Roddickton,NL,,
ASSUMPTION PARISH,St. John's,NL,,
ASSUMPTION PARISH,Stephenville Crossing,NL,,
BADGER PENTECOSTAL ASSEMBLY,Badger,NL,,
BAIE VERTE PASTORAL CHARGE,Baie Verte,NL,,
BASILICA PARISH OF ST JOHN THE BAPTIST,St. John's,NL,,
BAY ROBERTS PASTORAL CHARGE,Bay Roberts,NL,(709) 786-9159,http://www3.nf.sympatico.ca/fordagnes/
BELL ISLAND PORTUGAL COVE PASTORAL CHARGE,Portugal Cove-St Phillips,NL,,
BETHANY PENTECOSTAL TABERNACLE,Norris Arm,NL,,
BETHEL PENTECOSTAL ASSEMBLY,Bay Roberts,NL,,
BETHEL PENTECOSTAL ASSEMBLY,St. Anthony,NL,,
BETHEL PENTECOSTAL CHURCH,Lewisporte,NL,,
