Abundant Life Victory Church,Bible Hill,NS,(902) 895-5433,http://alvc.org
ACACIAVILLE UNITED BAPTIST CHURCH,Digby,NS,,
ADVENT CHRISTIAN CHURCH,Clark's Harbour,NS,,
ADVENT CHRISTIAN CHURCH,Bear River,NS,,
ADVOCATE PASTORAL CHARGE,Advocate,NS,,
ADVOCATE UNITED BAPTIST CHURCH,Advocate Harbour,NS,,
AENON UNITED BAPTIST CHURCH,Chester Basin,NS,,
ALIVE CHRISTIAN CHURCH ASSOCIATION,Halifax,NS,902.443.4700,
All Saints Cathedral,Halifax,NS,902-423-6002,http://www.cathedralchurchofallsaints.com/
ALL SAINTS LUTHERAN CHURCH,Bridgewater,NS,,
ALTON UNITED BAPTIST CHURCH,Kentville,NS,,
AMHERST FIRST UNITED BAPTIST CHURCH,Amherst,NS,,
AMHERST OPEN BIBLE CHURCH,Amherst,NS,,
Anchor City Church,Bedford,NS,902-229-1283,http://www.anchorcitychurch.ca
Annapolis Basin Vineyard Christian Fellowship,Annapolis Royal,NS,(902) 245-4817,
ANNAPOLIS GRANVILLE PASTORAL CHARGE UNITED CHURCH OF CANADA,Annapolis Royal,NS,,
ANTIGONISH BAPTIST CHURCH (INDEPENDENT),Antigonish,NS,,
ANTIOCHIAN MARONITE CATHOLIC CHURCH OF THE ROMAN CATHOLIC EPISCOPAL CORPORATION OF HALIFAX,Halifax,NS,,
APPLE RIVER UNITED BAPTIST CHURCH,Parrsboro,NS,,
ARCADIA UNITED BAPTIST CHURCH,Yarmouth,NS,,
ARGYLE PUBNICO BAPTIST CHURCH,Yarmouth County,NS,,
ARLINGTON UNITED BAPTIST CHURCH,Centreville,NS,,
ASCENSION LUTHERAN CHURCH,Lunenburg Co,NS,,
ASHMORE BETHEL BAPTIST CHURCH,Weymouth,NS,,
ASSUMPTION PARISH ARICHAT,Arichat,NS,,
ATLANTIC BAPTIST FELLOWSHIP,Port Williams,NS,,
AVONPORT UNITED BAPTIST CHURCH,Avonport Kings County,NS,,
AYLESFORD PASTORAL CHARGE,Aylesford,NS,902-847-9504,http://www.aylesfordunited.com
Aylesford Pastoral Charge,Aylesford,NS,902-847-9504,http://www.aylesfordunited.com
AYLESFORD UNITED BAPTIST CHURCH,Aylesford Kings Co,NS,,
AYLESFORD UNITED CHURCH,Kingston,NS,,
Aylesford United Church of Canada,Aylesford,NS,902-847-9624,http://www.aylesfordunited.com
Baddeck Baptist Church,Baddeck,NS,(902) 295-1387,
BADDECK PASTORAL CHARGE,Baddeck,NS,,
BARNEY'S RIVER AND MARSHY HOPE PRESBYTERIAN CHURCH,Barney's River,NS,,
BARRINGTON TEMPLE UNITED BAPTIST CHURCH,Barrington,NS,,
BARSS CORNER UNITED BAPTIST CHURCH,New Germany,NS,,
