ALBERTON PRESBYTERIAN CHURCH,Alberton,PE,,
ALEXANDRA BAPTIST CHURCH,Alexandra,PE,,
ALL SAINTS PARISH,Cardigan,PE,,
ALMA UNITED BAPTIST CHURCH,Alberton,PE,,
APOSTOLIC PENTECOSTAL ASSEMBLIES INC,Alberton,PE,,
APOSTOLIC PENTECOSTAL CHURCH,Alberton,PE,,
APOSTOLIC PENTECOSTAL CHURCH INC OF PRINCE EDWARD ISLAND,Alberton,PE,,
BAY FORTUNE UNITED CHURCH,Souris,PE,,
BEDEQUE NORTH PASTORAL CHARGE,Summerside,PE,,
BEDEQUE PASTORAL CHARGE,Kinkora,PE,,
BEDEQUE UNITED BAPTIST CHURCH,Summerside,PE,,
BELMONT UNITED BAPTIST CHURCH ',Miscouche,PE,,
BIDEFORD PASTORAL CHARGE,Tyne Valley,PE,,
BORDEN UNITED CHURCH,Borden,PE,,
BROOKFIELD PRESBYTERIAN CHURCH,North Wiltshire,PE,,
CALVARY TEMPLE CHARLOTTETOWN INCORPORATED,Charlottetown,PE,902.368.1226,
CANOE COVE PRESBYTERIAN CHURCH,Cornwall,PE,,
CAVENDISH BREADALBANE PASTORAL CHARGE,Hunter River,PE,,
CAVENDISH UNITED BAPTIST CHURCH,Charlottetown,PE,,
CENTRAL CHRISTIAN CHURCH,Charlottetown,PE,902.894.5234,http://www.facebook.com/centralpei
CENTRAL KINGS PASTORAL CHARGE,Montague,PE,,
CENTRAL KINGS UNITED BAPTIST CHURCH,Annandale,PE,,
CHARLOTTETOWN BIBLE CHAPEL,Sherwood,PE,,
CHARLOTTETOWN GOSPEL HALL,Charlottetown,PE,,
CHARLOTTETOWN SEVENTH-DAY ADVENTIST CHURCH,Bonshaw,PE,,
CHARLOTTETOWN UNITED BAPTIST CHURCH,Charlottetown,PE,,
CHRISTIAN BRETHREN ASSEMBLY,Montague,PE,,
CHRISTIAN CHURCH,Summerside,PE,,
CHRISTIAN CHURCH AT BREADALBANE,Breadalbane,PE,,
CHRISTIAN REFORMED CHURCH,Charlottetown,PE,,
CHURCH OF GOD HOUSE OF PRAYER,Charlottetown,PE,,
CHURCH OF GOD WEST DEVON,Ellerslie,PE,,
CHURCH OF THE NAZARENE,Elmsdale,PE,,
CHURCH OF THE NAZARENE,Summerside,PE,,
CHURCHILL PRESBYTERIAN CHURCH,Bonshaw,PE,,
CLYDE RIVER PRESBYTERIAN CHURCH,Cornwall,PE,,
CLYDE RIVER UNITED BAPTIST CHURCH,Cornwall,PE,,
COMMUNITY BAPTIST CHURCH OF THE CHARLOTTETOWN AREA PRINCE EDWARD ISLAND CANADA INC,Charlottetown,PE,,
CORNERSTONE UNITED BAPTIST CHURCH,Cornwall,PE,,
CORNWALL CHRISTIAN CHURCH INC,Cornwall,PE,,
CORNWALL PASTORAL CHARGE,Cornwall,PE,,
CROSS ROADS CHRISTIAN CHURCH,Stratford,PE,,
EAST POINT UNITED BAPTIST CHURCH,Souris,PE,,
EMMANUEL BIBLE CHAPEL INC,Montague,PE,,
F A M E CANADA INC,Charlottetown,PE,,
FAIRVIEW UNITED BAPTIST CHURCH,Hunter River,PE,,
FAITH BIBLE CHURCH INC,Charlottetown,PE,,
Faithworks Centre,Charlottetown,PE,902 566 2257,http://faithisland.org
FIRST CONGREGATIONAL CHRISTIAN CHURCH OF P E I,Breadalbane,PE,,
FREDERICTON CHURCH OF CHRIST,Hunter River,PE,,
FREE CHURCH OF SCOTLAND EASTERN CHARGE,Morell,PE,,
FREE CHURCH OF SCOTLAND-WESTERN PARISH,North Wiltshire,PE,,
FREELAND PRESBYTERIAN CHURCH,Ellerslie,PE,,
FREETOWN PRESBYTERIAN CHURCH,Freetown,PE,,
GEDDIE MEMORIAL PRESBYTERIAN CHURCH,Spring Brook,PE,,
GEORGETOWN BAPTIST CHURCH,Georgetown,PE,,
GLAD TIDINGS TABERNACLE,Murray River,PE,902.962.2200,
