Église Évangélique Blainville,Blainville,QC,,
Église Espoir Et Vie,La Sarre Abitibi,QC,,
Église Espoir Et Vie,La Sarre Abitibi,QC,,
Église Le Chemin,Gatineau,QC,,
Église Paroles De Vie Internationale,Sherbrooke,QC,,
Église Sur Le Roc,Sherbrooke,QC,,
ABBOTSFORD PASTORAL CHARGE,Abbotsford,QC,,
ABERCORN SEVENTH-DAY ADVENTIST CHURCH,Longueuil,QC,,
ABUNDANT LIFE FAITH CHURCH INTERNATIONAL INCORPORATED,Montreal,QC,,
ACADEMIE ORION,Montreal,QC,,
Action Chapel,Kpalimé,QC,,
ALCOVE UNITED CHURCH,Alcove,QC,,
ALL SAINTS CHURCH,Sept-Iles,QC,,
ALL SAINTS CHURCH,St. Hermenegilde,QC,,
ALL SAINTS CHURCH,Dunham,QC,,
ALL SAINTS CHURCH,Sutton,QC,,
ALL SAINTS CHURCH,Deux Montagnes,QC,,
ALL SAINTS CHURCH,Verdun,QC,,
ALL SAINTS MISSION ARCHIDIOCESE DE MONTREAL,Montreal North,QC,,
ALL SAINTS' CHURCH,Rouyn Noranda,QC,,
ARABIC EVANGELICAL BAPTIST CHURCH MONTREAL,St. Laurent,QC,,
ARCHANGELS MICHAEL AND GABRIEL GREEK ORTHODOX CHURCH,Montreal,QC,,
Armee Des Rachetes,Montreal,QC,514.389.8051,
ARMEE DU SALUT POSTE DE QUEBEC/THE SALVATION ARMY QUEBEC CITY CORPS,Quebec,QC,,
ARMEE DU SALUT-MISSION FRANCOPHONE DE TROIS-RIVIERES,Trois-Rivieres,QC,,
ARMENIAN BIBLICAL BROTHERHOOD CHURCH,Montreal,QC,,
ARUNDEL UNITED CHURCH,Arundel,QC,,
Asambleas De Dios,Greenfield Park,QC,514.363.1555,
ASCENSION LUTHERAN CHURCH,Montreal,QC,,
Assemblée Chrétienne Évangélique De Notre-Dame-Du-Nord,Notre-Dame-Du-Nord,QC,,
ASSEMBLE CHRETIENNE DE GRAND-MERE,Grand-Mere,QC,,
ASSEMBLE CHRETIENNE DE SHERBROOKE,Sherbrooke,QC,,
ASSEMBLE CHRETIENNE LAMATER,Terrebonne,QC,,
ASSEMBLEE CHRETIENNE,Ste Anne De Sorel,QC,,
ASSEMBLEE CHRETIENNE BONNE NOUVELLE,Quebec,QC,,
ASSEMBLEE CHRETIENNE D'ARGENTEUIL,Laval,QC,,
ASSEMBLEE CHRETIENNE DE CAP-DE-LA-MADELEINE,Cap De La Madeleine,QC,,
ASSEMBLEE CHRETIENNE DE COOKSHIRE,Canton Ascot,QC,,
ASSEMBLEE CHRETIENNE DE FARNHAM,Farnham,QC,,
ASSEMBLEE CHRETIENNE DE GRANBY,Granby,QC,,
Assemblee Chretienne De La Pentecote/Pentecostal Christian Assembly,Gaspe,QC,418.368.2547,http://www.assembleechretiennegaspe.com
ASSEMBLEE CHRETIENNE DE LA TUQUE,La Tuque,QC,,
ASSEMBLEE CHRETIENNE DE PRICE,Ste-Angele De Merici,QC,,
ASSEMBLEE CHRETIENNE DE RIVIERE-DU-LOUP,Riviere-Du-Loup,QC,,
ASSEMBLEE CHRETIENNE DE ROLLET,Guerin,QC,,
ASSEMBLEE CHRETIENNE DE STE ANNE DES MONTS,Ste-Anne-Des-Monts,QC,,
ASSEMBLEE CHRETIENNE DE THETFORD MINES,Thetford-Mines,QC,,
ASSEMBLEE CHRETIENNE DE TROIS-RIVIERES OUEST,Shawinigan-Sud,QC,,
ASSEMBLEE CHRETIENNE DES BOIS-FRANCS,Victoriaville,QC,,
