Bethany Church,Whitehorse,YT,867-668-4877,http://www.bethanychurchwhitehorse.com
CALVARY BAPTIST CHURCH OF WHITEHORSE,Whitehorse,YT,,
CATHOLIC EPISCOPAL CORPORATION OF WHITEHORSE,Whitehorse,YT,,
CHRIST CHURCH CATHEDRAL,Whitehorse,YT,,https://anglican.yukon.net/cathedral.html
CHRIST THE KING MISSION,Mayo,YT,,
CHURCH OF ST CHRISTOPHER,Haines Junction,YT,,
CHURCH OF THE APOSTLES,Faro,YT,,
CHURCH OF THE NAZARENE,Whitehorse,YT,,
Cochrane Victory Church,Cochrane,YT,705 360 1842,http://www.timminsvictory.org
Dawson Christian Fellowship,Dawson City,YT,867-993-5364,
EVENING LIGHT TABERNACLE,Whitehorse,YT,,
FARO BIBLE CHAPEL,Faro,YT,,
FIRST PENTECOSTAL CHURCH,Whitehorse,YT,,
GRACE COMMUNITY CHURCH,Whitehorse,YT,,http://http://www.grace-community-church.com/
IMMACULATE HEART OF MARY MISSION,Teslin,YT,,
OUR LADY OF THE WAY & OUR LADY OF GRACE CHURCHES,Haines Junction,YT,,
OUR LADY OF VICTORY MISSION,Whitehorse,YT,,
RIVERDALE BAPTIST CHURCH,Whitehorse,YT,,
SACRED HEART PARISH,Whitehorse,YT,,
SAINT MARYS CHURCH,Dawson City,YT,,
SAINT MICHAELS MISSION,Ross River,YT,,
SALVATION ARMY YUKON TERRITORY THE,Whitehorse,YT,,
ST ANN'S ROMAN CATHOLIC PARISH,Watson Lake,YT,,
ST JAMES CHURCH,Pelly Crossing,YT,,
ST JOHN THE BAPTIST CHURCH,Watson Lake,YT,,
ST JUDES MISSION,Carmacks,YT,,
ST LUKE'S ANGLICAN CHURCH,Old Crow,YT,,
ST PAUL'S ANGLICAN CHURCH,Dawson City,YT,,
ST SIMON'S ANGLICAN CHURCH,Whitehorse,YT,,
St. Nikolai of Zhitsa Orthodox Mission,Porter Creek,YT,867-332-4171,http://www.orthodoxwhitehorse.org
SYNOD OF THE DIOCESE OF YUKON,Whitehorse,YT,,
THE CHURCH OF ST. MARY WITH ST. MARK,Mayo,YT,,
THE CHURCH OF THE NORTHERN APOSTLES,Whitehorse,YT,,
TRINITY EVANGELICAL LUTHERAN CHURCH,Whitehorse,YT,,
WATSON LAKE COMMUNITY CHAPEL,Watson Lake,YT,867-536-2249,
WHITEHORSE BAPTIST CHURCH,Whitehorse,YT,,
Whitehorse Church of the Nazarene,Whitehorse,YT,867-633-4903,http://www.whitehorsenazarene.org
WHITEHORSE UNITED CHURCH,Whitehorse,YT,,
Worldwide Church of God,Whitehorse,YT,867-668-6334,
